npsn;nama;alamat;kode_wilayah;kode_pos;status;kode_jenjang;akreditasi;email;latitude;longitude
69991721;PAUD BETLEHEM;JL. TANAH MERAH;92.06.14.2002;98551;Swasta;KB;B;69991721@serasibintuni.go.id;.000000000000;.000000000000
60401950;SMP PERINTIS MANIMERI II;Korano Jaya SP. II Manimeri;92.06.11.2006;98552;Negeri;SMP;A;60401950@serasibintuni.go.id;-2.071.100.000.000;133.715.500.000.000
69940437;PAUD/KB WARAITAMA;JL. RAYA WARAITAMA;92.06.11.2003;98364;Swasta;KB;C;69940437@serasibintuni.go.id;.000000000000;.000000000000
60401945;SMP PERINTIS KELAPA DUA;Kampung Forada;92.06.14.2004;98363;Negeri;SMP;A;60401945@serasibintuni.go.id;-2.600.500.000.000;133.194.800.000.000
60403674;TK CENDERAWASIH MANIMERI SP 1;MANIMERI SP I WARAITAMA;92.06.11.2004;98551;Swasta;TK;B;60403674@serasibintuni.go.id;.000000000000;.000000000000
60401954;SMP NEGERI I BINTUNI;Jln Raya Bintuni;92.06.01.1001;98364;Negeri;SMP;Belum Terakreditasi;60401954@serasibintuni.go.id;-2.117.000.000.000;133.529.700.000.000
60401913;SD INPRES WIMRO;Wimro;92.06.16.2003;98363;Negeri;SD;B;60401913@serasibintuni.go.id;-2.498.700.000.000;133.356.000.000.000
60401930;SD YPPK RIENDO;Kampung Riendo;92.06.08.2003;null;Swasta;SD;C;60401930@serasibintuni.go.id;-2.805.100.000.000;133.689.300.000.000
60725765;TKN KARYA MANDIRI MOSKONA;KAMPUNG BARMA;92.06.23.2003;98364;Negeri;TK;C;60725765@serasibintuni.go.id;-1.808.100.000.000;132.615.000.000.000
60403480;SD YPK DIASPORA TIRASAI;Tirasai;92.06.11.2004;98364;Swasta;SD;C;60403480@serasibintuni.go.id;-2.044.981.000.000;133.859.784.000.000
60401933;SD YPPK TEMBUNI;Tembuni;92.06.09.2001;98364;Swasta;SD;B;60401933@serasibintuni.go.id;-1.950.500.000.000;133.371.800.000.000
70008074;TK YPK MARANATHA;KAMPUNG TUGARAMA;92.06.15.2004;null;Swasta;TK;Belum Terakreditasi;70008074@serasibintuni.go.id;.000000000000;.000000000000
60401924;SD YPPK ST SANTUPETRUS;Dusun Kasira;92.06.03.2023;98132;Swasta;SD;Belum Terakreditasi;60401924@serasibintuni.go.id;-2.615.000.000.000;133.199.800.000.000
60401883;SD NEGERI BARMA;Barma;92.06.05.2001;98364;Negeri;SD;C;60401883@serasibintuni.go.id;-1.875.339.000.000;133.063.826.000.000
69938371;TK Pertiwi Barma Baru;Barma Baru;92.06.23.2003;98551;Swasta;TK;Belum Terakreditasi;69938371@serasibintuni.go.id;.000000000000;.000000000000
60401914;SD INPRES STENGKOL III;Jl. Raya Muara Meyado;92.06.23.2001;98551;Negeri;SD;C;60401914@serasibintuni.go.id;-1.728.470.400.000;132.941.928.500.000
60725748;SMPN SATAP AROBA;KAMPUNG AROBA;92.06.16.2001;98363;Negeri;SMP;C;60725748@serasibintuni.go.id;-2.672.000.000.000;133.377.600.000.000
69879192;SMA NEGERI KAITARO;SARA;92.06.15.2001;98363;Negeri;SMA;C;69879192@serasibintuni.go.id;-1.968.177.000.000;133.116.068.000.000
