nama;kategori
Kursi Siswa;Sarana
Meja Guru;Sarana
Kursi Guru;Sarana
Papan Tulis;Sarana
Lemari;Sarana
Tempat Sampah;Sarana
Tempat cuci tangan;Sarana
Jam Dinding;Sarana
Papan Pajang;Sarana
Soket Listrik;Sarana
Soket Listrik/Kotak Kontak;Sarana
Kloset Jongkok;Sarana
Tempat Air (Bak);Sarana
Gayung;Sarana
Gantungan Pakaian;Sarana
Bak media air;Sarana
Gayung (Small Bucket);Sarana
Gayung Air;Sarana
Tempat Air;Sarana
Meja Siswa;Sarana
Rak hasil karya peserta didik;Sarana
Kotak kontak;Sarana
Alat Peraga;Sarana
Meja UKS;Sarana
Kursi UKS;Sarana
Gawangan;Sarana
Simbol Kenegaraan;Sarana
Komputer;Sarana
Printer;Sarana
Hub/Switch hub;Sarana
Komputer server;Sarana
Scanner;Sarana
Stabilizer;Sarana
Akses Internet;Sarana
Lan Server;Sarana
Laptop;Sarana
Bak /Drum Plastik;Sarana
Rak Buku;Sarana
Meja Baca;Sarana
Kursi Baca;Sarana
Kursi Pimpinan;Sarana
Meja Pimpinan;Sarana
Kursi dan Meja Tamu;Sarana
Kipas angin;Sarana
Brankas;Sarana
Filing Kabinet;Sarana
Papan Statistik;Sarana
Selimut;Sarana
Tempat tidur;Sarana
Meja;Sarana
Tangga lipat;Sarana
Televisi;Sarana
Lemari Es;Sarana
Lemari Penyimpanan;Sarana
Tempat Tidur UKS;Sarana
Pengeras Suara;Sarana
Garpu tala;Sarana
Alat pemadam kebakaran;Sarana
Anatomi kerangka manusia;Sarana
Anatomi organ manusia;Sarana
Function Generation;Sarana
Jangka Sorong;Sarana
Kaca Pembesar ( L Magnifer);Sarana
Kaca Preparat;Sarana
Kaki tiga;Sarana
Kertas Lakmus;Sarana
Mikrometer;Sarana
Mikroskop;Sarana
Mikroskop monokuler;Sarana
Mistar;Sarana
Osciloskop;Sarana
Rangkaian listrik;Sarana
Transformator;Sarana
Af Generator;Sarana
Alat Percobaan Muai Panjang;Sarana
Bak Cuci;Sarana
Beban Bercelah;Sarana
Catu Daya;Sarana
Dinamometer;Sarana
Gelas Beaker;Sarana
Gelas Ukur;Sarana
Gelas Ukur (Cylinder Measuring);Sarana
Generator Frekuensi;Sarana
Jangka Sorong (Vernier Caliper);Sarana
Kabel Penghubung;Sarana
Kabel Penghubung (Conecting Co);Sarana
Kaca Pembesar;Sarana
Klem / Penjepit Buret;Sarana
Klem Universal;Sarana
Komponen Elektronika;Sarana
Kotak Potensiometer;Sarana
Kubus Massa Sama;Sarana
Lemari Alat;Sarana
Lemari Bahan;Sarana
Magnet U;Sarana
Manual Percobaan;Sarana
Meja Demonstrasi;Sarana
Meja Persiapan;Sarana
Multimeter Ac/Dc, 10 Kilo Ohm/;Sarana
Neraca;Sarana
Pegas;Sarana
Pembakaran Spiritus;Sarana
Perangkat Batang Statif;Sarana
Plat;Sarana
Power Supply Ac Dc;Sarana
Rol Meter;Sarana
Silinder Massa Sama;Sarana
Stopwatch;Sarana
Termometer;Sarana
Meja TU;Sarana
Kursi TU;Sarana
Komputer TU;Sarana
Printer TU;Sarana
Kursi Kerja;Sarana
Meja Kerja / sirkulasi;Sarana
Penanda Waktu (Bell Sekolah);Sarana
Telepon;Sarana
Rak;Sarana
Lemari/Rak;Sarana
Papan pengumuman;Sarana
LCD Proyektor;Sarana
Speaker;Sarana
Rak Majalah;Sarana
Rak Surat Kabar;Sarana
Lemari Katalog;Sarana
Meja Multimedia;Sarana
Alat Multimedia;Sarana
Sumber Belajar Lain;Sarana
Laboratorium Kimia;Prasarana
Laboratorium Fisika;Prasarana
Laboratorium Biologi;Prasarana
Laboratorium Komputer;Prasarana
Ruang Perpustakaan;Prasarana
Ruang UKS;Prasarana
Ruang Kepala Sekolah;Prasarana
Ruang Guru;Prasarana
Ruang TU;Prasarana
Ruang OSIS;Prasarana
Kamar Mandi/ WC Guru Laki-laki;Prasarana
Kamar Mandi/WC Siswa Laki-laki;Prasarana
Kamar Mandi/WC Siswa Perempuan;Prasarana
Gudang;Prasarana
Asrama Siswa;Prasarana
Lapangan;Prasarana
Bilik Guru Laki-laki;Prasarana
Bilik Siswa Laki-laki;Prasarana
Bilik Siswa Perempuan;Prasarana
Bilik Laki-laki;Prasarana
Bilik Perempuan;Prasarana
Ruang Teori/Kelas;Prasarana
Kamar Mandi/ WC Bersama;Prasarana
